FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00366 HG00366 0 0 0 1 -0.0119 0.0241 0.0088 0.0140 0.0168 -0.0782 -0.0008 0.0147 0.0076 -0.0246
HG00367 HG00367 0 0 0 1 -0.0121 0.0236 0.0125 0.0154 0.0155 -0.0761 0.0129 0.0116 0.0192 -0.0044
HG00368 HG00368 0 0 0 1 -0.0111 0.0220 0.0114 0.0155 0.0188 -0.0976 0.0029 0.0247 0.0115 -0.0344
HG00369 HG00369 0 0 0 1 -0.0119 0.0238 0.0101 0.0147 0.0148 -0.0851 0.0053 0.0170 0.0172 -0.0474
HG00371 HG00371 0 0 0 1 -0.0119 0.0241 0.0097 0.0183 0.0181 -0.0691 0.0032 0.0203 0.0053 -0.0495
HG00372 HG00372 0 0 0 1 -0.0135 0.0239 0.0111 0.0146 0.0220 -0.0772 -0.0075 0.0149 0.0117 -0.0248
HG00373 HG00373 0 0 0 1 -0.0131 0.0225 0.0121 0.0129 0.0251 -0.0856 0.0170 0.0126 -0.0093 -0.0212
HG00375 HG00375 0 0 0 1 -0.0116 0.0251 0.0117 0.0173 0.0171 -0.0798 0.0089 0.0077 -0.0099 -0.0414
HG00376 HG00376 0 0 0 1 -0.0123 0.0260 0.0135 0.0175 0.0257 -0.0699 -0.0037 -0.0150 0.0147 -0.0089
HG00378 HG00378 0 0 0 1 -0.0121 0.0234 0.0126 0.0163 0.0154 -0.0814 0.0178 0.0004 0.0064 -0.0357
HG00379 HG00379 0 0 0 1 -0.0117 0.0233 0.0109 0.0138 0.0150 -0.0781 0.0137 0.0207 0.0111 -0.0126
HG00380 HG00380 0 0 0 1 -0.0105 0.0261 0.0113 0.0180 0.0057 -0.0575 -0.0064 0.0045 -0.0095 0.0037
HG00381 HG00381 0 0 0 1 -0.0122 0.0242 0.0120 0.0159 0.0179 -0.0784 0.0118 0.0044 0.0222 -0.0350
HG00382 HG00382 0 0 0 1 -0.0112 0.0240 0.0129 0.0169 0.0267 -0.0902 0.0106 0.0186 0.0024 -0.0302
HG00383 HG00383 0 0 0 1 -0.0118 0.0239 0.0128 0.0143 0.0220 -0.0880 0.0009 0.0177 0.0292 -0.0308
HG00384 HG00384 0 0 0 1 -0.0118 0.0241 0.0136 0.0160 0.0244 -0.0801 -0.0012 0.0121 -0.0000 -0.0175
HG00403 HG00403 0 0 0 1 -0.0164 -0.0334 0.0081 0.0123 0.0080 -0.0058 0.0000 0.0001 -0.0046 0.0121
HG00404 HG00404 0 0 0 1 -0.0167 -0.0338 0.0078 0.0130 0.0078 -0.0003 -0.0018 -0.0033 -0.0062 0.0068
HG00406 HG00406 0 0 0 1 -0.0169 -0.0349 0.0023 0.0161 -0.0136 0.0054 -0.0024 -0.0024 -0.0032 0.0007
HG00407 HG00407 0 0 0 1 -0.0168 -0.0346 0.0033 0.0171 -0.0075 0.0032 -0.0037 -0.0141 -0.0044 0.0080
HG00409 HG00409 0 0 0 1 -0.0172 -0.0339 0.0096 0.0140 -0.0050 0.0001 0.0102 0.0121 0.0083 0.0039
HG00410 HG00410 0 0 0 1 -0.0159 -0.0334 0.0055 0.0151 -0.0008 0.0007 -0.0024 0.0037 -0.0001 0.0033
HG00419 HG00419 0 0 0 1 -0.0165 -0.0341 0.0054 0.0145 -0.0104 0.0094 0.0058 0.0011 -0.0024 0.0086
HG00421 HG00421 0 0 0 1 -0.0160 -0.0338 0.0053 0.0154 -0.0002 0.0016 -0.0025 0.0021 -0.0088 0.0116
