FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00282 HG00282 0 0 0 1 0.0116 -0.0232 0.0099 0.0178 -0.0203 -0.0834 0.0051 -0.0099 0.0115 0.0047
HG00284 HG00284 0 0 0 1 0.0120 -0.0239 0.0105 0.0172 -0.0167 -0.0767 0.0024 -0.0088 0.0017 0.0088
HG00285 HG00285 0 0 0 1 0.0120 -0.0227 0.0107 0.0176 -0.0187 -0.0911 0.0009 -0.0124 0.0062 0.0138
HG00288 HG00288 0 0 0 1 0.0118 -0.0236 0.0089 0.0150 -0.0217 -0.0905 0.0044 -0.0150 0.0033 0.0140
HG00290 HG00290 0 0 0 1 0.0121 -0.0227 0.0093 0.0153 -0.0200 -0.0932 0.0038 -0.0146 0.0039 0.0023
HG00304 HG00304 0 0 0 1 0.0115 -0.0239 0.0103 0.0165 -0.0192 -0.0932 0.0042 -0.0118 0.0076 0.0112
HG00306 HG00306 0 0 0 1 0.0116 -0.0245 0.0092 0.0169 -0.0166 -0.0671 0.0035 -0.0065 -0.0021 0.0032
HG00308 HG00308 0 0 0 1 0.0118 -0.0231 0.0105 0.0169 -0.0130 -0.0796 0.0043 -0.0039 0.0086 0.0144
HG00309 HG00309 0 0 0 1 0.0117 -0.0230 0.0118 0.0169 -0.0188 -0.0816 0.0039 -0.0074 -0.0004 0.0020
HG00310 HG00310 0 0 0 1 0.0117 -0.0248 0.0108 0.0180 -0.0171 -0.0696 0.0021 -0.0043 0.0046 0.0099
HG00311 HG00311 0 0 0 1 0.0118 -0.0251 0.0117 0.0183 -0.0086 -0.0583 0.0019 -0.0063 0.0059 0.0001
HG00313 HG00313 0 0 0 1 0.0117 -0.0231 0.0115 0.0175 -0.0202 -0.0847 0.0007 -0.0110 0.0113 0.0012
HG00315 HG00315 0 0 0 1 0.0117 -0.0233 0.0113 0.0157 -0.0141 -0.0756 0.0021 -0.0107 0.0084 0.0108
HG00318 HG00318 0 0 0 1 0.0118 -0.0246 0.0109 0.0175 -0.0191 -0.0753 0.0023 -0.0101 0.0023 0.0017
HG00319 HG00319 0 0 0 1 0.0116 -0.0231 0.0106 0.0170 -0.0172 -0.0823 0.0079 -0.0099 0.0112 0.0201
